,Text
5960,He deposed that his mother was also having the said number with her.
5961,"In the case of 'Chunna Mal v. Bhagwant Kishore (FB) (A),' Sulaiman, C. J. and Bennet, J. toot the view that the Court cannot grant time to pay the court-fee as in that case the question of previous payment of the costs would not arise and the order would therefore be in conflict with the provisions of Order 33. Rule 15."
5962,"In support of the said contention, reliance was placed on a decision of the Bombay High Court in Divisional Controller, Maharashtra State Road Transport Corporation v. Bapu Onkar Chaudhary [(2004) ACJ 35]."
5963,Therefore both the appeals preferred by the insurance company and the appellants Smt. Munni Devi and another are hereby partly allowed and disposed of accordingly.
5964,"The learned Counsel for the respondent submitted that we should prefer the view expressed by Shivashankar Bhat, J. in the case of Balappa in preference to the view expressed by Swami, J. which was affirmed in the case of Gwalior Rayon and the Division Bench in the case of Lakshmi Bai."
5965,"On September 10, 1965, the Legislature of the State of Maha- rashtra enacted the Maharashtra Municipalities Act which repealed the Bombay District Municipal Act 3 of 1901."
5966,"On the 4th July, 1956 the Commissioner of Income-tax, the respondent No. 1, issued an authorisation, in favour of the respondent No. 3 under the provisions of Section 37(2) of the said Act."
5967,"He was, therefore, a child and not an adult person."
5968,"As the High Court rightly observed, those cases relate to what happens after or in consequence of the dissolution of a firm whereas we are here concerned with a question that arises before or at the time of dissolution."
5969,The dress which he had taken to the ancestral house were burnt by Nazeer and his wife Selma (PW2) and a false complaint was lodged against him in the Kottayam East Crl.
5970,.P.79(a) : Signature of P.W.19 in Ex.P.79.
5971,iii. Ex PW 1/3 is original death certificate of Sh. Vipin Solanki.
5972,(emphasis added) PW4 Sajikumar repudiated the said suggestions.
5973,"It is not disclosed in which judgment or order Ashok Bhan, J., has upheld the validity of the Notification dated 8-7-1997."
5974,The apprehension must not only be entertained but must appear to the Court to be a reasonable apprehension.
5975,"In Madras City Wine Merchants' Association and Another vs. State of Tamil Nadu (1994 (5) SCC 509), the Supreme Court considered the doctrine of legitimate expectation at length, from paragraph-43 onwards upto paragraph-48."
5976,"It objected to the renewal of a permit to the third respondent C. Abdul Rahim for the route Hiriyur to Chitradurga and back via V.V. Sagar, Hosadurga and Janakal on the ground that this renewal will authorise an overlapping over three miles on the notified route."
5977,"The resolution to that effect was passed by the board of directors of the assessee-company at its meeting held on June 22, 1966."
5978,After going through the above mentioned observations made by the Hon'ble Justice S. Murlidharan in the above mentioned case and after going through the averments made by both the parties during the Course of evidence and after going through all the documents it is clear that it is incumbent upon the complainant to prove that he has sent a legal demand notice by producing the delivery report.
5979,"H "" A 7 %   . 

2. Chand     S/0."
5980,"It is only a convenient label to apply to a set of circumstances in which a plaintiff proves a case, so as to call for a rebuttal from the defendant without having to allege and prove any specific act or omission on the part of the defendant."
5981,"The plaintiff Bank no doubt pleaded at para-11 as hereunder:
""While so it came to the notice of the officers of the plaintiff Bank in February 1971 that defendants 2 and 3 and their henchmen tampered with the goods in the key godown and furtively removed the goods in both open loan and key loan godowns."
5982,(Arun Kumar) Civil Judge(SW)/Dwarka Courts New Delhi/25.03.2014 Civil Suit No: 237/12 Sada Ram Kadian Vs Archit Raheja Civil Suit No: 320/12 25.03.2014
5983,"The petitioners object to the above searches and seizures and attack their validity under the law and claim that they were illegal and they ask for return of the seized documents, books and papers and for other reliefs, mentioned hereinbefore, under Art. 226 of the Constitution. 
 93e."
5984,"(Alok Aradhe) Judge a/rk Writ Petition No.4474/2013 02.03.2015 Mrs.Devika Singh, learned counsel for the petitioner."
5985,"Banks, L. J., said this :--
 ''A member of a partnership on becoming a partner takes upon himself the responsibility for everything that his partners may do in the conduct of the partnership, whether it be in the ordering of goods, or failing to defend an action, or admitting, however wrongly, the liability of the firm."""
5986,"32. Har Hara Bheri No. III ... 

 33. Har Hara Bheri No. IV ..."
5987,"Applying the test of Kuppuswami case such an order will (1) A. T. R. 1970 S.C. 406. 

(2) [1968] 2 S.C.R. 685. 

not be a final order."
5988,She would be taught by the father of the appellant who was working as Adjunct Professor in City College of Chicago.
5989,The respondents have filed a written statement.
5990,"This interpretation is also supported by Circular No.387, dt. 6th July, 1984."
5991,"State versus Tarun Kumar -:: Page 3 of 12 ::- -:: 4 ::-

26.02.2014 and the same were with her free consent."
5992,"It is stated that the said suit was compromised vide compromise deed dated 28.03.1958 and RCA No. 10/14/10 7/41 accordingly, the Hon'ble High Court of Allahabad terminated the said receivership vide order dated 02.05.1958."
5993,"Shri Srivastava, on the contrary, submitted that, even though there is a comprehensive insurance policy, the liability of the insurance company would be up to Rs. 50,000/- only as per the condition mentioned in the insurance policy, 'the limit of the liability to pay such amount as is necessary to meet the requirement of the Motor Vehicles Act, 1939."
5994,"... PETITIONER (BY SRI. N P VIVEKMEHTA, ADVOCATE) AND 1. BASAPPA S/O GURAPPA HUNSHIHAL @ HUNSHYAL AGE MAJOR, OCC:AGRIL, R/O MUGAD, TQ & DIST:DHARWAD 2."
5995,It further recites that the same rule for determining seniority list is to be applied in both the matter of confirmation and fixation of seniority.
5996,"It is alleged that on 30.07.2005 at about 11.15 a.m., P.W.2-Thippeswamy, PSI., Basavapatna Police Station received a credible information that some persons at Kamsagara village are circulating counterfeit notes in a Maruti Omni van."
5997,If reasons are not given in the order this Court also is placed under a great disadvantage.
5998,There are Benches of these Tribunals in the State of Madhya Pradesh but their main seats are outside the State of Madhya Pradesh.
5999,"If after the order, the Civil proceedings still remains to be tried and the rights in dispute between me parties have to be determined, the order is not a final order within the meaning of Article 133"". 

 Jethanand and Sons v. State of Uttar Pradesh, ."
6000,"On October 8, ]993 itself, Maple Leaf executed a lease deed in respect of the said property in favour of an Embassy of Israel in India, New Delhi for a period of nine years at a rent of Rs.8,38,360/- per month."
6001,"As the Karnal Court had no jurisdiction to entertain the plaint, it was not the proper Court."
6002,But testimonies of P.Ws. 41 and 44 clearly show that those accused approached them and told them that something should be done for the total annihilation of Tomy's family.
6003,This route was also advertised and in due course applications of the respondents Kishore Sharan and two others were published on 25-10-1956.
6004,"The relevant Paragraph 8 and 24 of the aforesaid judgment are being quoted below :- 
 ""8."
6005,"On the 21st May, 1956, the assessee entered into an agreement with Messrs. Simplex Electric Company Ltd. of England (hereinafter sometimes called the "" foreign company ""}."
6006,This witness also knows the accused No.1 Srinivasa and another accused Shobha.
6007,"This is what was stated by a two-Judge Bench in R.S. Naik vs. A. Antulay 1986 (2) SCC 716. 

27."
6008,There they stayed in the house of one Mr. M. R. Singh (PW 53).
6009,"In ILR 1953 Nag 116: (AIR 1953 Nag 12) Hidayatullah, J., (as he then was) and Choudhuri, J. held at page 121 (of ILR Nag): (at p. 14 of AIR): 
 ""Order 41 Rule 4, Code of Civil Procedure, was not meant to negative the provisions of Order 22."
6010,The penalties imposed for misdeclaration of value as well as for ITC contravention imposed on M/s BVH Limited are set aside.
6011,"At this juncture, it ought to be pointed out that the Assessing Officer, in the assessment order dated 18.03.2004, had dealt with the claim of deduction under Section 80HHC as well as the claim of deduction under Section 80IB separately in great detail."
6012,I attest to the accuracy and integrity of this document FAO No.5564 of 2009 (O&M) with -14-  FAO No.5565 of 2009 and XOBJC-43-CII of 2010 (O&M) been filed against the owner of the motorcycle.
6013,"However, the settlement deed was not registered though it was presented to the Sub-Registrar at Khairatabad."
6014,"Lord Wright in the same case said, ""The actual pecuniary loss of each individual entitled to sue can only be ascertained by balancing on the one hand the loss to him of the future pecuniary benefit, and on the other any pecuniary advantage which from whatever source comes to him by reason of the death""."
6015,"This is a petition under Article 226 of the Constitution seeking a direction to quash and set aside the order of respondent No. 1, State Transport Appellate Tribunal, Jaipur, dated March 7, 1977, by which it has granted a temporary permit to respondent No. 3 on Kota-Mangrole route and to quash the permit issued to it."
6016,8. Shri. Shabbir Mohd. Ali @ Firoz Khan Gaffar Khan Nanku M/30yrs &
6017,"Such addition made by the AO in computation of book profit were deleted by this Tribunal while disposing ITA No. 693/Cal/1999, dt. 24th March, 2000 reported as Usha Maitin Industries Ltd. v. Jt. CIT (2003) 81 TTJ (Cal) 518-Ed. 

6."
6018,"All the cases pertaining to the revenue estates of villages falling in District Karnal and Jind (except appeals filed by the State pertaining to land of village Anta, District Jind) have already been decided by this court, whereas the cases pertaining to some of the villages of District Kaithal have also been decided."
6019,"It should be noted that the House of Lord made an exception in respect of the defence of insanity, and did not seek to reverse the law laid down in the case of -- 'Reg v. M'Naughton' (1843) 4 St. Tr. (NS) 847 (N), viz., that insanity, if relied upon as a defence, must be established by the accused."
6020,"These appeals by certificate arise from the judgment and decision of the High Court of Bombay dated 10th August, 1971 in Income Tax Reference No. 124 of 1963."
6021,"A Divisional Bench of the Bombay High Court, relying upon the aforesaid English decisions, has expressed a similar view in Baldeodas Mahavir Prasad v. G.P. Sonavalla, AIR 1948 Bom 385 (D)."
6022,"If the defendant had paid the entire consideration amount as claimed by her, then, why she had left the half of the suit land to the plaintiff as the share of the plaintiff."
6023,"Thus the wide sweep of Art. 14 undoubtedly takes within its fold the impugned circular issued by the State of U.P. 

in exercise of its executive power, irrespective of the precise nature of appointment of the Government Counsel in the districts and the other rights, contractual or statutory, which the appointees may have."" 

55."
6024,"The first contention is that respondent No. 6 Dr. S.L. Mehta who was selected by the Selection Committee for the post of Senior Bio-chemist after the bizarre exercise undertaken to find a suitable person to fill in the post on the earlier occasion, did not fulfil one of the essential qualifications for the post."
6025,"Here the appellate court which was competent to deal with the matter has pronounced its judgment against the petitioners, and the matter (1) [1951] S.C.R. 344. 

 having been finally decided is not one to be reopened in a proceeding under article 32 of the Constitution."""
6026,This can be the only definition of ' repairs ' because it is only by reason of this definition of repairs that the expenditure is a revenue expenditure.
6027,"The present appeals arise from the order of the Motor Accidents Claims Tribunal (hereinafter referred to as ""the Tribunal"") at Sangli, in Petition No. 323/1993, decided on 16.8.2007."
6028,The findings are not opposed to justice or morality or contrary to the public policy of India.
6029,"There is no rule of practice that there must, in every case, be corroboration before a conviction can be allowed to stand.""*"
6030,The learned counsel placed strong reliance in Har Shankar & Ors. v. The Dy. Excise and Taxation Commr & Ors. [(1975) 1 SCC 737].
6031,"Thereafter, the petitioner filed Criminal Appeal No. 589 of 1988 (supra) and State of Punjab filed Criminal Appeal No. 784 of 1989 (supra) before Hon'ble the Supreme Court, which were allowed vide order dated 6.3.1998 (P-1) and the accuseds were convicted under Section 304 Part I read with Section 34 IPC."
6032,"Memorandum No. 138-PS. dated Calcutta, the 7th February 1956 Subject:-- Action to be taken in cases of stay-in-strikes and ""Gherao"" or Coercive and confinement tactics resorted to by the employees of commercial and industrial undertakings."
6033,"When her husband Manoj protested, he was given knife blows at many places on his Crl.A.Nos. 786, 795, 919, 926/2001 Page 2 body by the intruders."
6034,"Sandeep Pathak had stated that in 13 Criminal Appeal No.1264/2010 the evening of the incident, the police came to his shop and they took him to the rented room, where the appellant gave one Katta and one bullet to the police."
6035,"One of the issues that was framed, therefore, was: 
 ""Did the plaintiff (Lilabai) pay Rs. 200/- on 11-4-1944 and Rs- 6500/- on 15-4-1944 in cash to defendant No. 1 (Mangilal) at Arvi?"""
6036,"There can be no second opinion that the law declared by a larger Bench of the Hon'ble Supreme Court, not only binds the High Courts and all other Courts, but also the smaller Benches of the Hon'ble Supreme Court as well."
6037,"Therefore, irrelevant details which do not in any way corrode the credibility of a witness should be ignored."
6038,"A case was registered against you at Proh. & Excise Station, Jaggaiahpeta in crime No.254/2004-05 dated 10.7.2004 under Section 7-A r/w 8(e) of A.P. Prohibition (amendment) Act, 1997."
6039,(255)DBCWP No.9773/2010 M/s Shree Modi Cement Inud.
6040,Sl. No. NARCOTIC DRUG SMALL QUANTITY COMMERCIAL ITEM NO.
6041,"Jadavji Modi filed a separate application asking for compensation of Rs. 10,000 for the injuries suffered by him."
6042,"The relevant portion of the cross-examination is extracted hereunder:
 I have not received any complaint from any of the coffee growers that money is not given from Rahmania Coffee Works.

 32."
6043,"In fact, the preamble of the Act itself states that it is an Act to provide for the creation of Legislative Council for the State of Tamil Nadu and for matters supplemental, incidental and consequential thereto and the same had received the assent of the President on 18.5.2010."
6044,"The   legal   notice   bears   two   addresses   of   the              defendant   being  Delhi   Consumer   Co­operative   Whole   Sale   Store               Limited, Moti Nagar, New Delhi and Shop No. AB­14, DDA Market,  
            Safdarjung Enclave, New Delhi (Suit Property)."
6045,"In the State of Bihar, in the Directorate of Indigenous Medicines, there were three classes of posts sanctioned, namely, (1) Director of Indigenous Medicines, (2) Deputy Director (Homoeopathic) and (3) Deputy Director (Unani)."
6046,"On the other hand, learned Additional Advocate General for the State of Punjab contended that unfortunately PW12 injured witness Vikram Singh has not supported the prosecution case but the circumstantial evidence available on record against the appellant is sufficient to establish the charges against him."
6047,"In 1930, Raghavamma filed a suit for possession of the property impleading  Chenchamma as the first defendant, Kamalamma  as the second defendant and Punnayya as the third defendant.
934 Chenchamma,  the  first	 defendant  and	 the  present  first respondent,  contended	that  Venkayya	was  not  given	  in adoption  and that there was no partition as alleged by	 the plaintiff."
6048,"This judgment shows that no doubt, the law declared by Apex Court binds Courts in India but it has directed to remember that it does not enact."
6049,"In reply arguments, Shri Deshpande, learned Senior Advocate urges that doctrine of Merger is not of universal application or unlimited in nature."
6050,Devendra Yadav was further charged under section 25 (1-B)(a) read with section 27 of the Arms Act.
6051,"The product manufactured by M/s. Guardian Plasticote Ltd., consists of two layers of kraft paper joined together by a layer of polythene."
6052,"Perusal of the records shows that earlier, vide order, dated 24.08.2012, the learned District Munsif-cum-Judicial Magistrate, Mettupalayam, has dismissed a petition, filed by the party-in-person to take action against his wife, for giving false evidence, in the maintenance proceedings, as not maintainable."
6053,While the coach carrying the bridegroom was approaching the house of Tulsiram Khatik (P. W. 16) the accused Mannalal forcibly tried to get into the coach.
6054,AND S.B.Civil Writ Petition  No.6661/2012 Manoj Kumar & Yadav &
6055,It is fully covered by decisions of this Court.
6056,It went on to observe that interpretation of Article 361 (2) must be such as to be consistent with it and W.P. No.3346/2015 further that intendment.
6057,"The contention that the papers in question had been ""planted"" in partner Palanetraiah's residence did not impress the CIT (Appeals)."
6058,"We must, thus, examine whether reasons given by the High Court in its judgment in Commissioner of Income-Tax v.  
Asian Star Co. Ltd. (supra) were correct in law."
6059,"In rare and exceptional cases, St may be rebutted by other circumstances, such as appearance of a Government counsel without getting instructions in a particular case to appear."
6060,I paisa per unit for the first two generating sets and nil rate in respect of 3rd and 4th generating sets.
6061,"That Order is made absolute and the same, for convenience, is reproduced below as follows:
4-6-07 W.P. No. 8631 (w) of 2007 Sardar Amjad Ali Mrs. Sucharita Roy (Bhattacharya) ...for the petitioner"
6062,"We have also perused the written submissions filed by Shri P. P. Srivastava, Additional Advocate General for respondents in the writ petition."
6063,"This argument was sought to be supported by reference to two decisions, one a decision of the Calcutta High Court in East India Prospecting Syndicate v. Commissioner of Excess Profits Tax, and the other a decision of the Supreme Court in Bengal and Assam Investors Ltd. v. Commissioner of Income-tax."
6064,"First, about the cross-objection of respondent/claimant Ramchandra in MA No. 97 of 1985."
6065,"Meanwhile, S.I. Brijendra Singh (PW.7), the I.O. stood transferred to another police station and the investigation could not be carried out smoothly."
6066,Both the Tehsils fall in district Ghaziabad.
6067,This Court has consistently shown great anxiety for personal liberty and refused to throw out a petition merely on the ground that it does not disclose a prima facie case invalidating the order of detention.
6068,"In a recent case reported in 1961 (2) Cri. L. J. 71 (Cal) decided by Debabrata Mukherjee an D. N. Das-Gupta, JJ."
6069,(3) F. A. No. 159 of 1955:
6070,She left the appellant's house only when she was driven out in March 1963 and thereafter stayed with her parent for several years waiting in vain for the appellant to take her back.
6071,"In this context Dr. Tewari argued that as the petitioner in the aforesaid writ petition has her existing holding in a different village in the Gang Canal Area, the argument advanced by the learned counsel is merely of academic value so far as allotment of land to this petitioner is concerned."
6072,The investigating officer alongwith the police officials then once again visited the prepaid taxi parking lot at the IGI Airport.
6073,"The same view was expressed by the High Court of Kerala in Vijayan Pillai @ Babu vs. State of Kerala : 1989 (2) K.L.J. 

 234."
6074,"In support of this proposition, the Id. representative for the assessee relied on the following rulings :-
(1) Addl. CIT v. Laxmi Agents P. Ltd. (125 ITR 227) (Guj) (APP) (2) CIT v. Anniversary Investments (175 ITR 199) (Cal) (3) CIT v. National and Grindlays Bank (202 ITR 559) (Cal) (4) CIT v. Jardine Hinderson (210 ITR 981) (Cal) (5) Shaan Finance Ltd. (231 ITR 308 at 314) (SC)"
6075,"An this is why President Roosevelt said that the judges of the Supreme Court must be not only great justices, but they must be great constructive :statesmen"
6076,His father opened a chat-shop at the Bal Mela.
6077,"Damages awarded for pain and suffering and loss of amenity constitute a conventional sum which is taken to be the sum which society deems fair, fairness being interpreted by the court In the light of previous decisions."
6078,"In the house of Bant Singh, his brother-in-law Kesar Singh alias Bittu (appellant), his mother-in-law Bhagwanti (appellant) and the nephew of Bhagwanti, namely, Harbans Singh (appellant in connected Criminal Appeal No.56-DB of 1999) had come there."
6079,"Awarding a sum of £200 for 'loss of expectation of life', Viscount Simon, LC, in a famous passage, stated as follows: ""The thing to be valued is not the prospect of length of days, but the prospect of a predominantly happy life...."
6080,"N.P. Engineer (G. N. Joshi, R.J. Kolah and N.A. Palki- wala, with him) for the respondent in Case No. 182 and appellant in Case No. 183."
6081,"A.9 told him that one Krishnapandi, P.W.34, is running a Semiya manufacturing company in the name of T.K.P Food Products at Mudichur and as the company was running at loss, and if they invested, they may earn profit."
6082,'License' to drive a Motor-vehicle is issued by Regional Transport Officer under Motor Vehicles Act.
6083,"This Kh. No. 71/2 had been transferred by Parmanand during his life time to Roop Singh etc., P.W. 3 is Ramkisan (Patwari of village) Bagthari, at the relevant time."
6084,It seems that at these meetings some consideration was given to the proposals published on 18th August 1958 and the representations received.
6085,"..J. 

 (M. B. SHAH) .J. 

 (B. N. AGRAWAL) J. 

 (ARIJIT PASAYAT) January 22, 2002"
6086,"The amount, pursuant to the direction given by learned Single Judge, has been deposited in the Registry of this Court, as noted by the order dated 28.5.1998."
6087,In the present case looking to the evidence of complainant Bhojraj (PW3) it is apparent that FIR could not be written up to 11.00 p.m in the night whereas dead body of the deceased was taken from the spot.
6088,"The victim K rushed back to her house and narrated about the incident to her mother Smt. Kavita, who asked her as to who the said person was and then, it transpired that accused had followed her to her house."
6089,"Therefore, in the present case the Executive acted illegally in regularising the appointment of the respondent Thimmiah."
6090,"In other words, the finding of the learned trial Judge is that Messrs. China Cotton Exporters or the plaintiff had no knowledge that the Concerns, National Hand-loom Weaving Works and Rayon Hand-loom Industries, to which the yarn was supposed to have been sold, were not genuine Handloom factories."
6091,The fact that Harbans Singh (PW-6) had seen Harbans Singh (appellant) and Kesar Singh (appellant) carrying some heavy substance on the carrier of the bicycle about two and half months before the matter was reported to the Police is in the facts and circumstances quite doubtful.
6092,"In the case, the Apex Court has laid down that in a case of difference in record with regard to date of birth, the best evidence is that of parents."
6093,"We are, on the other hand, in entire agreement with the view taken by the Mysore High Court in Hanuman Motor Service v. CIT [1967] 66 ITR 88.  
 24."
6094,"R.K. Garg, R.K. Jain and Guptha Jain for the Respondents."
6095,"It is true that in the former case though the trees were not sold with the roots and the stumps, the Kerala High Court took the view that the assessee was not engaged in the business of felling timber and, therefore, the receipts from the sale of trees was not assessable as income."
6096,"P.W.6, a resident of Chimakurthy, Prakasam District, took photographs of the dead body."
6097,"The last provision to which we may refer in this connection is s. 151 of the Code of Civil Procedure, 1908."
6098,No orders are called for on IA No. 1 of 1993 in TP (C) No. 17 of 1978.
6099,"1. Registrar, Rajasthan High Court, Jodhpur with reference to letter No. 6918 dated 22.10.74. 

2. Shri Mangat Rai Mitruka, Addl. District and Sessions Judge Jaipur city-3. 

The pay fixation was done by the State Government in terms of Rule 29 subclause (b) of the Rajasthan Higher Judicial Service Rules, hereinafter referred to as 'the Rules! Rule 29 (b) of the Rules as under:
29."
6100,As a result of which deceased fell on the road and received injuries.
6101,"In these matters, several counter-affidavits have been filed by the respondents in C.W.J.C. No. 2905 of 1996."
6102,"Where an appointment in a service has been acquired by practising fraud or deceit such an appointment is no appointment in law, in service and in such a situation Article 311 of the Constitution is not attracted at all."
6103,"There is, therefore, no doubt that the Court in Srish Kumar Choudhury case accepted and followed, as it was bound to do, the Constitution Bench judgments and not the two Judge judgments in the Dina and Bhiya Ram Munda cases."""
6104,"Insofar as the writ petitioner in W.P.No.15821 of 2008 is concerned, admittedly he was not appointed under the National Rural Employment Guarantee Scheme in the year 2007 either through Employment Exchange or through Outsourcing Agencies, but he is still waiting as a person registered with the Employment Exchange having the qualification of Diploma in Engineering."
6105,"In Syed Rafiq Ahmed and Another -v.- Regional Trans-port Officer and Others a Division Bench of this Court speaking through one of us (Puttaswamy, J.) has indicated the procedural requirements for determination of arrears of taxes and their recoveries (vide para 51 to 58)."
6106,"However, it was produced on record of the case in the year 2000."
6107,"12.2007 (2) TNT 193 (Jayalakshmi and another vs. Govindammall and others) 13.2008 (1) MLJ 560 (Angammal and another vs. C.Sellamuthu and another)
 7."
6108,"Mahendrabhai Girdharlal Gandhi, P.N. 15, Exhibit 57 was not the Inspector at Surat when the goods were brought to the godown at Surat."
6109,"She admits that she went, but explains that her father's brother's children had holidays and as they proceeded to Kashmir, she also accompanied them."
6110,"In Prakash and others vs. Arun Kumar Saini and another (2010 (3) TAC 114 (Delhi) (supra), Delhi High Court further further held as under:
20."
6111,Subrata Bijli Sudarshan Gokulnagar G.P. No. 6 (Chi.-4) 25.
6112,"The respondent, Arlabs Private Limited, made two applications for the grant of compulsory licences of the said two patents on September 28, 1956."
6113,"In this reference the facts are that on the 5th January, 1965, Title Suit No. 83 of 1959 in the Subordinate Judge's Court at Alipore for the recovery of money due on a mortgage bond was decreed."
6114,It is also pertinent to note that Mohindra Supply Co. was as case under section 39 of the Act.
6115,4. Present complaint has been filed by the complainant against the accused u/s.138 of Negotiable Instruments Act through the complainant.
6116,"Before the sale was confirmed the appellant (a minor) represented by his maternal grandfather, filed an application to set aside the sale under Order 21, Rule 90 of the Code."
6117,"In support of his submission, learned counsel for the petitioners has produced a copy of the order dated 29.10.2014 passed in W.P.No.15937/2014."
6118,"The learned senior counsel for the appellant submitted that in Topline Shoes Ltd. v. Corporation Bank (2002) 6 SCC 33, pari materia provision contained in Section 13 of the Consumer Protection Act, 1986 came up for the consideration of the Court."
6119,That in brief is the nature of the complaint made by Mr. Sethi in his First Information Report.
6120,"3. Hon'ble Supreme Court has observed following in Dalbir Singh v. State of Haryana [(2000) 5 SCC 82],:
 ""13.Bearing in mind the galloping trend in road accidents in India and the devastating consequences visiting the victims and their families, criminal courts cannot treat the nature of the offence under Section 304A IPC as attracting the benevolent provisions of Section 4 of the PO Act."
6121,"Reliance was placed on the law laid down in  State of Gujarat   Vs.   Harumal   Retumal   and   others   2008   FAJ   292   (Guj),   Koyakutty   Vs.   Food   Inspector   2000   (2)   FAC   238   and   Shew   Chander   Mathur   and   anr   Vs.   State   of   Assam and anr., 1991 (1) FAC 9.



26."
6122,"He has further categorically stated that Shri P. M. Samantray did not put undue pressure of any kind""."
6123,The Court below had allowed the amendments prayed for.
6124,"Civil Writ Petition No. 15651 of 1992 came up for admission before the Bench of A. L. Bahri and G. C. Garg, JJ. on. January 12, 1993 and it was also directed to be heard alongwith Civil Writ Petition No. 12079 of 1992."
6125,The Police constable brought PW-1 Madhukar to his cabin and along with him there was a lady and a boy.
6126,"Thus though section 4 appears on the face of it as one short section of four lines, it is in effect a statutory provision adopting all the rules which were in force at the commencement of the Act, governing the recruitment and the conditions of service of the two all-India services."
6127,"Since, we have held respondents 3 to 5 and Sushil Kumar Taxi Driver, guilty of committing contempt of this Court and have punished them in the manner indicated above, we. drop the proceedings in so far as commission of perjury is concerned."
6128,"Security against sickness and disablement is fundamental right under Article 25 of the Universal Declaration of Human Rights and Article 7(b) of international Convention of Economic, Social and Cultural Rights and under Articles 39(e), 38 and 21 of the Constitution of India."
6129,"H R SOWMYA, MAJOR, D/O RUDRAPPA NEW NES CROSS QUARTERS NO.576, MYSORE CEMENTS LIMITED AMMASANDRA, TUMKUR-572 211 103."
6130,"Mr.K.P.Raval, the learned APP, has vehemently opposed this appeal and submitted that the trial Court committed no error in finding the accused no.1 Popatbhai Mohanbhai guilty of the offence of murder punishable under Section 302 of the Indian Penal Code as well as the accused nos.4 and 6 guilty of the offence punishable under Section 325 of the Indian Penal Code."
6131,It is contended by Mr.Yagnik that Rule 5(A)(ii) of the impugned Rules is also contrary to the eligibility criteria laid down for the candidates to appear for Gujarat Common Entrance Test.
6132,"On the basis of these newspaper reports, a writ-petition in public interest, being C.W.J.C. 3395 of 1994, was filed in this Court alleging fraudulent excess drawals of money by the officials of the Department."
6133,"There remains Appeal No. 302 of 1957, which raises a question of limitation."
6134,"Punishment for forgery.- Whoever commits forgery shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both."
6135,"Bansi Lal Vs. M/s New India Assurance Co. Ltd. 
 16."
6136,"In para. 5 of the judgment at page 491 of the report, Vaidialingam, J., has observed : 
""As to how exactly any books of account : maintained by somebody else, and much less the secret account books, which according to the department were discovered from a third party, can straightaway and without proof be utilized as against persons like the petitioner"
6137,"In that case, Nathu Bnjara was tortured at police station, Rampura during the interrogation."
6138,"O. P. No. 1211 was filed on 24-4-1967 to quash the said order; and the petitioner in that case obtained from this Court on 25-4-1967 an interim order, staying the operation of the said order."
6139,"More fundamental is the contention that the impugned notification issued by the State Government purporting to amend r.6(b) with retrospective effect from July 10, 1964 which rendered members of Class II Service who are diploma- holders like the petitioners."
6140,"85.Hiralal PW 36 is a businessman of Samath, District Banaras who had gone to the bank of Varuna River on 20-12- 1983 at about 8.00 a.m. to ease himself when he noticed crowd there."
6141,"Further, we have also this fact that though the vessel started from Camorin on the 7th of January, it has taken over 6 days to reach the environs of Tuticorin, a distance of about 60 to 70 miles."
6142,A bill issued to one Mr. K. Narasimhalu on 5-4-1950 will be typical of the way in which the matter was treated by the assessee.
6143,"She stated that the distance Crl.A.No.179/2012, Crl.M.A.7959/2011                                    Page 12  between the police post and her house could be covered by foot in half an hour."
6144,"From the testimony of PW12 Neeraj Jain who is the independent witness, it has been corroborated that accused Hari   Chand came to the spot and demanded bribe from the complainant in his car."
6145,In Ex. C the Government laid down that classification of socially and educationally backward classes should be made on the following basis: (1) economic condition; and (2) occupation.
6146,"So, when the appellant has not been able to prove that the house from where recovery of contraband was made does not belong to him and belongs to someone else than him, then, only he could be presumed to be in possession of the contraband recovered from the house in his occupation."
6147,"To, obtain marketable carbon dioxide from kiln gas an elaborate plant would be required for separation and purification and it is such carbon dioxide which becomes marketable after it is compressed at a pressure of 1000 to 1800 lbs. per sq. inch in cylinders of the specifications laid down by the Government of India under Rule II of the Gas Cylinder Rules, 1940."
6148,Bhagirath Mal plaintiff has therefore come to this Court in second appeal.
6149,"Since the offences were bailable, the accused/driver is admitted to bail on furnishing of personal bond and surety bond in a sum of Rs.10,000/­.  

3."
6150,"In other words, if in a case, the following of a mandate strictly, results in delay in trapping an accused, which may lead the accused to escape, then the prosecution case should not be thrown out."""
6151,"(iv) Insurance companies, however, with a view to avoid their liability must not only establish the available defence(s) raised in the said proceedings but must also establish “breach” on the part of the owner of the vehicle; the burden of proof wherefor would be on them."
6152,"Roop Kishore v. United Provinces Government, AIR 1945 All 24, was cited with approval, which contained the observation that in some cases, such an application may not be a step in the proceedings."
6153,The husband is an Advocate practicing in this Court as well as in Delhi High Court.
6154,12] Mr.Kumbhakoni submits that in each of the election petitions paras referred to by the Returned candidates need to be perused for the purpose of appreciating his submissions.
6155,This interpretation of sub-section (2) i strongly supported by A the marginal note to section 52 which reads 'Consideration for transfer in cases of under-statement'.
6156,"In view of recent decision of of Delhi High Court, where, Delhi High Court has considered recent decision of Apex Court in case of R.K. Malik v. Kiran Pal reported in 2009 ACJ 1924, where, decision of Delhi High Court reported in 2007 ACJ 2010 has been confirmed by Apex Court, where, school going children died due to school bus has been fallen down in Yamuna River."
