,Text
846,"['Petitioner:', 'Karanpura', 'Development', 'Co.,', 'Ltd.', 'Vs.', 'Respondent:', 'The', 'Commissioner', 'Of', 'Income-Tax,', 'West', 'Bengal', 'Date', 'Of', 'Judgment']"
847,"['Case', 'No.:', 'Appeal', '(crl.)', '688-90', 'of', '1993', 'Petitioner:', 'Kans', 'Raj', 'Vs.', 'Respondent:', 'State', 'Of', 'Punjab', '&', 'Ors.', 'Date', 'Of', 'Judgment']"
848,"['Petitioner:', 'Commissioner', 'Of', 'Income-Tax,', 'Calcutta,', 'Nowst', 'Bengal', 'Iii', 'Vs.', 'Respondent:', 'Imperial', 'Chemical', 'Industries', '(India)', 'Private', 'Ltd.', 'Date', 'Of', 'Judgment']"
849,"['Petitioner:', 'A.B.', 'Abdul', 'Kadir', '&', 'Ors', 'Etc.', 'Vs.', 'Respondent:', 'State', 'Of', 'Kerala', 'Date', 'Of', 'Judgment']"
850,"['1', '\uf6da', 'In', 'The', 'High', 'Court', 'Of', 'Karnataka', 'At', 'Bangalore', 'Dated', 'This', 'The', '22nd', 'Day', 'Of', 'September', '2012', 'Before:', 'The', ""Hon'Ble"", 'Mr.', 'Justice', 'Anand', 'Byrareddy', 'Regular', 'First', 'Appeal', 'No.1369', 'Of', '2003', 'Between:', '1.', 'Sri.', 'S.Rachaiah,', 'Major,', 'Son', 'of', 'Sri.', 'Siddappa,', 'Since', 'deceased', 'by', 'legal', 'representatives,', '1(a)', 'Sri.', 'Lingaraju,', 'Aged', 'about', '38', 'years,', '1(b)', 'Sri.', 'Siddaraju,', 'Aged', 'about', '35', 'years,', '1(c)', 'Sri.', 'Racha,', 'Correct', 'name', 'is', 'Raja', 'Shetty.R,', 'Aged', 'about', '31', 'years,', '1(d)', 'Smt.', 'Lakshmi,', 'Aged', 'about', '33', 'years,', '1(e)', 'Smt.', 'Saraswathi,', 'Aged', 'about', '28', 'years,', '1(f)', 'Smt.', 'Jyothi,', 'Aged', 'about', '26', 'years,', '2', 'All', 'are', 'sons', 'and', 'daughters', 'of', 'Late', 'Sri.', 'Rachaiah,', '2.', 'Smt.', 'Basamma,', 'Aged', 'about', '50', 'years,', 'All', 'are', 'residing', 'at', 'No.126,', 'Tippu', 'Convent', 'Road,', '4th', 'Cross,', 'Someshwaranagar,', 'I', 'Block,', 'Jayanagar,', 'Bangalore', '-', '560', '011.', '...Appellants', '(By', 'Shri.', 'C.S.', 'Prasanna', 'Kumar,', 'Advocate', 'for', 'M/s.', 'Kumar', 'and', 'Kumar', 'for', 'Appellant)', 'And:', 'Smt.', 'N.Sarojamma,', 'Aged', 'about', '59', 'years,', 'Wife', 'of', 'N.Nagabhushanappa,', 'Presently', 'residing', 'at', 'No.15,', '2nd', 'Cross,', '3rd', 'Main,', 'Aiyappa', 'Temple', 'Block,', 'Viveknagar,', 'Bangalore.', '...Respondent', '(By', 'Smt.', 'Anuradha', 'Urs', 'M.D.,', 'Advocate', 'for', 'Shri.', 'C.V.Sudhindra,', 'Advocate)', '*****', 'This', 'Regular', 'First', 'Appeal', 'is', 'filed', 'under', 'Section', '96', 'of', 'the', 'Code', 'of', 'Civil', 'Procedure,', '1908,', 'against', 'the', 'judgement', 'and', 'decree', 'dated', '19.8.2003', 'passed', 'in', 'O.S.No.4321/1984', 'on', 'the', 'file', 'of', 'the', '3', 'Xxxi', 'Additional', 'City', 'Civil', 'Judge,', 'Bangalore', '(Cch-14),', 'decreeing', 'the', 'suit', 'for', 'recovery', 'of', 'money.', 'This', 'Regular', 'First', 'Appeal', 'having', 'been', 'heard', 'and', 'reserved', 'on', '06.09.2012', 'and', 'coming', 'on', 'for', 'Pronouncement', 'of', 'Judgment', 'this', 'day,', 'the', 'Court', 'delivered', 'the', 'following:-', 'Judgment']"
851,"['In', 'The', 'High', 'Court', 'Of', 'Kerala', 'At', 'Ernakulam', 'Wa', 'No.', '1495', 'of', '2005', '1.', 'The', 'Chief', 'Electoral', 'Officer', 'And', '...', 'Petitioner', 'Vs', '1.', 'Sunny', 'Joseph,', '...', 'Respondent', '2.', 'The', 'Delimitation', 'Commission', 'Of', 'India,', '3.', 'Shri.Tandon,', '4.', 'Shri.Mohandas,', 'For', 'Petitioner', ':Sri.Murali', 'Purushothaman,', 'Sc,Ele.Commn.', 'For', 'Respondent', ':Sri.K.Ramakumar', 'The', ""Hon'ble"", 'the', 'Chief', 'Justice', 'Mr.Rajeev', 'Gupta', 'The', ""Hon'ble"", 'Mr.', 'Justice', 'K.S.Radhakrishnan', 'Dated', ':', '09/09/2005', 'O', 'R', 'D', 'E', 'R']"
852,"['1', 'In', 'The', 'Court', 'Of', 'Sh.', 'Narinder', 'Kumar', 'Additional', 'District', 'Judge', '-01', '(West);', 'Delhi', 'Cs', 'No.87/2009', '(old', 'Suit', 'no.1238/1987)', 'Date', 'of', 'Institution:', '3.10.2009', 'Arguments', 'heard', 'on:', '10.12.09', 'Date', 'of', 'order', ':', '14.12.09', 'In', 'the', 'matter', 'of:', 'Mohd.', 'Idrees', 'S/o', 'Shri', 'Habib', 'Bakhsh,', 'R/o', 'H.', 'No.5803,', 'First', 'Floor,', 'Kucha', 'Rehman', 'near', 'Jogiwara,', 'Ballimaran,', 'Delhi.', '...', 'Plaintiff', 'Versus', '1.', 'Shri', 'Mohd.', 'Arifeen', 's/o', 'Shri', 'Habib', 'Bakhsh', 'R/o', 'H.', 'No.5804,', 'Kucha', 'Rahman,', 'Near', 'Jogiwara,', 'Ballimaran,', 'Delhi-6.', '2.', 'Smt.', 'Hoor', 'Banu', 'wife', 'of', 'Shri', 'Mohd.', 'Arifeeh', 'R/o', 'H.', 'No.5804,', 'Kucha', 'Rehman,', 'Near', 'Jogiwara', 'Ballimaran,', 'Delhi-6.', '3.', 'Smt.', 'Khaliq', 'Sultan', 'wife', 'of', 'Shri', 'Mohd.', 'Idrees', 'R/o', 'H.No.5803,', 'Kucha', 'Rahman,', 'Near', 'Jogiwara', 'Ballimaran,', 'Delhi-6.', '....Defendants.', 'Suit', 'for', 'Partition', 'and', 'for', 'permanent', 'injunction.', 'Judgment']"
853,"['Petitioner:', 'Khem', 'Chand', 'Vs.', 'Respondent:', 'The', 'Union', 'Of', 'India', 'And', 'Others', 'Date', 'Of', 'Judgment']"
854,"['1', 'R', 'In', 'The', 'High', 'Court', 'Of', 'Karnataka', 'Kalaburagi', 'Bench', 'Dated', 'This', 'The', '23Rd', 'Day', 'Of', 'November', '2017', 'Before', 'The', ""Hon'Ble"", 'Mrs.', 'Justice', 'Rathnakala', 'M.F.A.No.201484/2016', '(Mv)', 'Between:', 'The', 'Oriental', 'Insurance', 'Co.', 'Ltd.,', 'Through', 'its', 'Divisional', 'Manager,', 'Through', 'its', 'Divisional', 'Office,', 'Ng', 'Complex', '1st', 'Floor,', 'Opp.', 'Mini', 'Vidhana', 'Soudha,', 'Gulbarga.', '...', 'Appellant', '(By', 'Sri', 'S.S.Aspalli,', 'Advocate)', 'And:', '1.', 'Annemma', 'W/o', 'Late', 'Iranna', 'Javalgi,', 'Age:', '57', 'years,', 'Occ:', 'Household,', '2.', 'Gurubai', 'D/o', 'Iranna', 'Javalgi,', 'Age:', '27', 'years,', 'Occ:', 'Household,', '3.', 'Sidramappa', 'S/o', 'Iranna', 'Javalgi,', 'Age:', '40', 'years,', 'Occ:', 'Coolie,', '2', 'All', 'R/o', 'Aurad', '(K)', 'village', 'Tq.', '&', 'Dist.', 'Gulbarga-585101.', '4.', 'Sharanu', 'S/o', 'Mallappa', 'Pujari,', 'Age:', 'Major,', 'Occ:', 'Owner', 'of', 'the', 'Motor', 'Cycle,', 'R/o', 'Keb', 'Qtrs.', 'Jewargi,', 'Dist.', 'Gulbarga-585101.', '...', 'Respondents', '(By', 'Sri', 'Bapugouda', 'Siddappa,', 'Adv.', 'for', 'C/R1', 'to', 'R3;', 'Notice', 'to', 'R4', 'is', 'served,', 'unrepresented)', 'This', 'Miscellaneous', 'First', 'appeal', 'is', 'filed', 'under', 'Section', '173(1)', 'of', 'the', 'Motor', 'Vehicle', 'Act,', 'praying', 'to', 'set', 'aside', 'the', 'judgment', 'and', 'award', 'dated', '28.06.2016', 'in', 'Mvc', 'No.942/2014', 'passed', 'by', 'Ii', 'Addl.', 'Senior', 'Civil', 'Judge', '&', 'Mact', 'Kalaburagi,', 'by', 'allowing', 'the', 'above', 'appeal', 'in', 'the', 'interest', 'of', 'justice', 'and', 'equity.', 'This', 'appeal', 'coming', 'on', 'for', 'final', 'hearing', 'this', 'day,', 'the', 'Court', 'delivered', 'the', 'following:', 'Judgment']"
855,"['Reportable', 'In', 'The', 'Supreme', 'Court', 'Of', 'India', 'Civil', 'Appellate', 'Jurisdiction', 'Civil', 'Appeal', 'No.4119', 'Of', '1999', 'Nizam', 'Institute', 'of', 'Medical', 'Sciences', '...Appellant', 'Versus', 'Prasanth', 'S.', 'Dhananka', '&', 'Ors.', '.........Respondents', 'With', 'C.A.', 'No.', '3126', 'of', '2000', 'Judgment']"
856,"['1', 'In', 'The', 'High', 'Court', 'Of', 'Karnataka', 'At', 'Bangalore', '®', 'Dated', 'This', 'The', '18th', 'Day', 'Of', 'December,', '2012', 'Before', 'The', ""Hon'Ble"", 'Mr.', 'Justice', 'A.N.', 'Venugopala', 'Gowda', 'Writ', 'Petition', 'No.8414/2012', '(S-De)', 'Between:', 'Sri', 'A.B.', 'Wadeyar,', 'S/o.', 'Bilyani,', 'Aged', 'about', '63', 'years,', 'Residing', 'at', 'Amogh,', 'Flat', 'No.126,', 'T.V.', 'Centre,', 'Belgaum', '-', '590', '019.', '...', 'Petitioner', '(By', 'Sri', 'K.V.', 'Narasimhan,', 'Adv.)', 'And:', ""Hon'ble"", 'High', 'Court', 'of', 'Karnataka,', 'Bangalore,', 'By', 'its', 'Registrar', 'General,', 'Bangalore.', '...', 'Respondents', '(By', 'Sri', 'Raghavendra', 'G', 'Gayatri,', 'Hcgp)', 'This', 'writ', 'petition', 'is', 'filed', 'under', 'Articles', '226', 'and', '227', 'of', 'the', 'Constitution', 'of', 'India,', 'praying', 'to', 'quash', 'the', 'order', 'vide', 'Annexure', '-E', 'dated', '21.12.2011', 'passed', 'by', 'the', '2', 'respondent', 'and', 'quash', 'the', 'proceedings', 'pending', 'before', 'the', ""Hon'ble"", 'Inquiry', 'Authority,', 'High', 'Court', 'of', 'Karnataka,', 'Bangalore.', 'This', 'petition', 'having', 'been', 'reserved,', 'the', 'Court', 'made', 'the', 'following:', 'Order']"
857,"['Case', 'No.:', 'Appeal', '(civil)', '4679', 'of', '1995', 'Petitioner:', 'Union', 'Of', 'India', '&', 'Anr.', 'Vs.', 'Respondent:', 'Delhi', 'High', 'Court', 'Bar', 'Association', '&', 'Ors.', 'Date', 'Of', 'Judgment']"
858,"['Petitioner:', 'U.P.', 'State', 'Sugar', 'Corporation', 'Vs.', 'Respondent:', 'M/S.', 'Sumac', 'International', 'Ltd.', 'Date', 'Of', 'Judgment']"
859,"['Case', 'No.:', 'Appeal', '(civil)', '11194', 'of', '1995', 'Petitioner:', 'Janki', 'Narayan', 'Bhoir', 'Respondent:', 'Narayan', 'Namdeo', 'Kadam', 'Date', 'Of', 'Judgment']"
860,"['In', 'The', 'High', 'Court', 'Of', 'Karnataka', 'At', 'Bengaluru', 'Dated', 'This', 'The', '09th', 'Day', 'Of', 'June', '2017', 'Before', 'The', ""Hon'Ble"", 'Mr.', 'Justice', 'N.K.', 'Sudhindrarao', 'M.F.A.No.4404/2009', '(Mv)', 'c/w', 'M.F.A.No.1255/2009', '(Mv)', 'In', 'Mfa', 'No.4404/2009', 'Between', '1.', 'Smt.', 'Mahadevamma,', 'W/O', 'Late', 'Thimmanaika,', 'Aged', 'About', '29', 'Years', '2.', 'Harish', 'S/O', 'Late', 'Thimmanaika', 'Aged', 'About', '14', 'Years', '3.', 'Pallavi', 'D/O', 'Late', 'Thimmanaika', 'Aged', 'About', '11', 'Years', '4.', 'Sakamma', 'W/O', 'Javaranaika', 'Aged', 'About', '63', 'Years', '5.', 'Javaranaika', 'S/O', 'Late', 'Kullanaika', 'Aged', 'About', '72', 'Years', 'All', 'The', 'Petitioners', 'Are', 'Residing', 'At', 'Singamaranahalli', 'Village', 'Kyathamaranahalli', 'Post,', 'Bilikere', 'Hobli,', 'Hunsur', 'Taluk', '-', '571', '105.', 'Petitioners', '2', 'And', '3', 'Are', 'Minors', 'Represented', 'By', 'Their', 'Next', 'Friend', '2', 'Mother', '1St', 'Appellant', 'Mahadevamma.', '...Appellants', '(By', 'Smt.', 'Suma', 'Kedilaya,', 'Advocate,', 'for', 'Sri', 'V', 'Padmanabha', 'Kedilaya,', 'Advocate)', 'And:', '1.', 'Sri', 'H.S', 'Ramesh', 'Aged', 'About', '47', 'Years', 'S/O', 'H.G', 'Swamygowda', 'No.325/2,', 'Yelwal', 'Village', 'And', 'Post', 'Mysore', 'Taluk', '-', '570', '024.', '2.', 'The', 'New', 'India', 'Insurance', 'Co.Ltd.', 'Doi,', 'Jlb', 'Road', 'Ramaswamy', 'Circle', 'Chamundipuram', 'Mysore', '-5', 'Represented', 'By', 'D', 'L', 'Manager.', '...Respondents', '(By', 'Sri', 'O', 'Mahesh,', 'Advocate', 'For', 'R-2', 'Notice', 'To', 'R-1', 'Is', 'Held-Sufficient', 'V/O', 'Dated', '28/5/10)', 'This', 'Mfa', 'Is', 'Filed', 'Under', 'Section', '173(1)', 'Of', 'Mv', 'Act', 'Against', 'The', 'Judgment', 'And', 'Award', 'Dated', '12.11.2008', 'Passed', 'In', 'Mvc', 'No.500/2007', 'On', 'The', 'File', 'Fo', 'Presiding', 'Officer,', 'Fast', 'Track', 'Court-V,', 'Member,', 'Additonal', 'Mact,', 'Mysore,', 'Partly', 'Allowing', 'The', 'Claim', 'Petition', 'For', 'Compensation', 'And', 'Seeking', 'Enhancement', 'Of', 'Compensation.', 'In', 'Mfa', 'No.1255/2009', 'Between:', 'New', 'India', 'Assurance', 'Co.Ltd.,', 'D.O.I.,', 'J.L.B.', 'Road', 'Chamundipuram', 'Mysore', '-', '560', '002.', 'By', 'Regional', 'Office,', 'Unity', 'Building', '3', 'Annex', 'E,', 'P.Kalinga', 'Rao', 'Raod', 'Bangalore', '-', '560', '027', 'By', ""It'S"", 'Manager.', '..Appellant', '(By', 'Sri', 'O.Mahesh,', 'Advocate)', 'And:', '1.', 'Smt.Mahadevamma,', 'W/O', 'Late', 'Thimmanaika', 'Aged', 'About', '29', 'Years', '2.', 'Harish', 'S/O', 'Late', 'Thimmanaika', 'Aged', 'About', '14', 'Years', '3.', 'Pallavi', 'D/O', 'Late', 'Thimmanaika', 'Aged', 'About', '11', 'Years', '4.', 'Sakamma', 'W/O', 'Javaranaika', 'Aged', 'About', '63', 'Years', '5.', 'Javaranaika', 'S/O', 'Late', 'Kullanaika,', 'Aged', 'About', '72', 'Years', 'All', 'Are', 'Residing', 'At', 'Singamaranahalli', 'Village', 'Kyathamaranahalli', 'Post', 'Bilikere', 'Hobli,', 'Hunsur', 'Taluk', '-', '571', '105.', '...Resfpondents', '(By', 'Smt.Suma', 'Kedilaya,', 'Advocate', 'for', 'Sri', 'V.Padmanabha', 'Kedilaya,', 'Advocate', 'for', 'R-1', 'To', 'R-5', 'Notice', 'to', 'R-6', 'is', 'held', 'sufficient', 'v/o', 'dated', '8/8/11)', 'This', 'Mfa', 'Is', 'Filed', 'Under', 'Section', '173(1)', 'Of', 'Mv', 'Act', 'Against', 'The', 'Judgment', 'And', 'Award', 'Dated:12.11.2008', 'Passed', 'In', 'Mvc', 'No.500/2007', 'On', 'The', 'File', 'Of', 'The', 'Presiding', 'Officer,', 'Fast', 'Track', 'Court-V,', 'Member,', 'Additonal', 'Mact,', '4', 'Mysore,', 'Awading', 'A', 'Compensation', 'Of', 'Rs.4,10,000/-', 'With', 'Interest', '@', '6%', 'P.A', 'From', 'The', 'Date', 'Of', 'Petition.', 'These', 'MFAs', 'Having', 'Been', 'Heard', 'And', 'Reserved', 'On', '17.03.2017', 'And', 'Coming', 'On', 'For', 'Pronouncement', 'Of', 'Judgment', 'This', 'Day,', 'The', 'Court', 'Delivered', 'The', 'Following:', 'Judgment']"
861,"['In', 'the', 'Court', 'of', 'Sh.', 'Balwinder', 'Singh,', 'Metropolitan', 'Magistrate', '(Traffic),', 'South', 'District,', 'Saket', 'Court,', 'New', 'Delhi.', 'In', 'the', 'matter', 'of', ':', 'Vehicle', 'No.', ':', 'Dl\xad1M\xad3321', 'Challan', 'No.', ':', '672\xad00462\xad14', 'Circle', ':', 'Hkc', 'U/S.', ':', '66/192A', 'of', 'M.V.', 'Act,', '1988.', 'State', 'Versus', 'Sabhajeet', 'S/o', 'Sh.', 'Hari', 'Ram', 'R/o', 'Village', 'Sohgupur,', 'P.O.', 'Fatehpur,', 'Ps', 'Jalalpur,', 'Ambedkar', 'Nagar,', 'U.P.', 'Date', 'of', 'Filing', 'the', 'Challan', ':28.03.2014', 'Arguments', 'Heard', 'on', ':03.05.2014', 'Date', 'of', 'Judgment', ':26.05.2014', 'Plea', 'of', 'the', 'accused', ':Not', 'Guilty', 'Final', 'Order', ':Acquittal', 'Present:', 'Ld.', 'App', 'for', 'the', 'State', 'Accused', 'in', 'person', 'alongwith', 'Ld.', 'Counsel', 'Sh.S.K.', 'Srivastava', 'and', 'Smt.', 'Surabhi', 'Srivastava.', 'J', 'U', 'D', 'G', 'M', 'E', 'N', 'T']"
862,"['Petitioner:', 'Dattatreya', 'Moreshwar', 'Pangarkar', 'Vs.', 'Respondent:', 'The', 'State', 'Of', 'Bombay', 'And', 'Others.', 'Date', 'Of', 'Judgment']"
863,"['Case', 'No.:', 'Writ', 'Petition', '(crl.)', '833', 'of', '1990', 'Petitioner:', 'Abdul', 'Rehman', 'Antulay', '&', 'Ors.', 'Respondent:', 'R.S.', 'Nayak', '&', 'Anr.', 'Date', 'Of', 'Judgment']"
864,"['1', 'High', 'Court', 'Of', 'Madhya', 'Pradesh', ':', 'Jabalpur.', 'Miscellaneous', 'Criminal', 'Case', 'No.11936/2014', 'Satya', 'Prakash', 'Verma', 'vs.', 'State', 'of', 'M.P.', 'and', 'another', 'Coram', ':', ""Hon'ble"", 'Shri', 'Justice', 'Shantanu', 'Kemkar,', 'J', ""Hon'ble"", 'Shri', 'Justice', 'K.K.', 'Trivedi,', 'J.', '_______________________________________________', '_______________________________________________________', 'Shri', 'Anil', 'Khare,', 'learned', 'senior', 'counsel', 'assisted', 'by', 'Shri', 'H.S.', 'Chhabra,', 'for', 'the', 'applicant.', 'Shri', 'S.K.', 'Kashyap,', 'learned', 'counsel', 'for', 'the', 'respondent', 'No.1.', 'Shri', 'Ajay', 'Ojha,', 'learned', 'counsel', 'for', 'the', 'respondent', 'No.2.', '(O', 'R', 'D', 'E', 'R']"
865,"['Honourable', 'Dr.', 'Justice', 'B.', 'Siva', 'Sankara', 'Rao', 'Criminal', 'Appeal', 'No.1173', 'of', '2004', '22-09-2014', 'Tumula', 'Harinath', '...Appellant', 'M/s', 'Uplands', 'Finance', 'and', 'Chit', 'Funds', 'Private', 'Limited', 'rep.', 'by', 'its', 'Managing', 'Director', 'and', 'another', '.Respondents', 'Counsel', 'for', 'the', 'Appellant:', 'Sri', 'T.M.K.Chaitanya', 'Counsel', 'for', 'respondents/accused', ':', 'None', 'Counsel', 'for', 'respondent', 'No.3/State', ':', 'Public', 'Prosecutor', '<Gist', ':', '---', '>Head', 'Note', ':', '---', '?', 'Cases', 'referred:', '1.', '(2006)3', 'Scc', '30', '2.', '(2009)', '2', 'Scc', '513', '3.', 'Air', '2010', 'Sc', '1898', '4.', 'Air', '2008', 'Sc', '1325', '5.', 'Air', '2001', 'Sc', '3897', '6.', 'Air', '1999', 'Sc', '1008', '7.', 'Ir', '2002', 'Sc', '182', '8.', 'Air', '2008', 'Sc', '2898', '9.', '1971', '(1)', 'An.W.R.', '65', '10.', 'Air2000', 'Sc', '1953', '11.', '1997(2)', 'Ald', '249=(2)', 'Alt', 'Crl', '626', '12.', 'Air', '2000', 'Sc', '92', '13.', '(2014', '(1)', 'Alt', 'Crl.145', 'The', 'Honourable', 'Dr.', 'Justice', 'B.Siva', 'Sankara', 'Rao', 'Criminal', 'Appeal', 'No.1173', 'of', '2004', 'Judgment']"
866,"['1', 'In', 'The', 'Supreme', 'Court', 'Of', 'India', 'Civil', 'Appellate', 'Jurisdiction', 'Civil', 'Appeal', 'No.3190', 'Of', '2011', '(Arising', 'out', 'of', 'Special', 'Leave', 'Petition', 'No.', '12187', 'of', '2009)', 'Devinder', 'Singh', '......Appellant', 'Versus', 'Municipal', 'Council,', 'Sanaur', '......Respondent', 'J', 'U', 'D', 'G', 'M', 'E', 'N', 'T']"
867,"['Petitioner:', 'Express', 'Newspapers', '(Private)', 'Ltd.,And', 'Another', 'Vs.', 'Respondent:', 'The', 'Union', 'Of', 'India', 'And', 'OTHERS(and', 'connected', 'petitions', 'and', 'ap', 'Date', 'Of', 'Judgment']"
868,"['Petitioner:', 'Shri', 'Ram', 'Krishna', 'Dalmia', 'Vs.', 'Respondent:', 'Shri', 'Justice', 'S.', 'R.', 'Tendolkar', '&', 'OTHERS(and', 'connected', 'appeal)', 'Date', 'Of', 'Judgment']"
869,"['Petitioner:', 'The', 'Bombay', 'Union', 'Of', 'Journalists', 'And', 'Others', 'Vs.', 'Respondent:', 'The,', ""Hindu',"", 'Bombay,', 'And', 'Another', 'Date', 'Of', 'Judgment']"
870,"['The', 'Honble', 'Sri', 'Justice', 'Ramesh', 'Ranganathan', 'And', 'The', 'Honblr', 'Sri', 'Justice', 'M.Satyanarayana', 'Murthy', 'Writ', 'Petition', 'Nos.28499', 'Of', '2013', 'and', 'batch', '27-08-2014', 'M/s.Doshi', 'Motors', 'Pvt.', 'Ltd..Petitioner', 'The', 'Commercial', 'Tax', 'Officer,', 'Sultan', 'Bazar', 'Circle,', 'Abids', 'Division,', 'Hyderabad', '&', 'Ors.', '.', 'Respondents', 'Counsel', 'for', 'the', 'petitioner:', 'Sri', 'E.Manohar,', 'Learned', 'Senior', 'Counsel', 'for', 'Sri', 'S.Krishna', 'Murthy,', 'Learned', 'Counsel', 'for', 'the', 'petitioner.', 'Counsel', 'for', 'respondents:', 'Sri', 'P.Balaji', 'Varma,', 'Learned', 'Special', 'Standing', 'Counsel', 'for', 'Commercial', 'Taxes.', '<Gist:', '>Head', 'Note:', '?Citations:', '1.', '(2011)', '52', 'Apstj', '85', '2.', '2008(1)', 'Scc', '494', '3.', 'Air', '1978', 'Sc', '8', '4.', 'Air', '1965', 'Sc', '111', '5.', '2013(1)', 'Scc', '524', '6.', 'Air', '1981', 'Rajastan', '3', '7.', '(2011)', '44', 'Vst', '353', '(Ap)', '8.', 'Air', '1987', 'Sc', '88', '9.', 'Air', '1961', 'Sc', '1457', '=', '[1962]', '2', 'S.C.R.', '575', '10.', '(2013)', '3', 'Scc', '182', '11.', '(1956)', '1', 'All', 'Er', '855', '12.', '(2011)', '3', 'Scc', '363', '13.', '(2007)', '5', 'Scc', '211', '14.', '(1992)', 'Illj', '283', 'Sc', '15.', '(1997)', '1', 'Scc', '9', '16.', '(1996)', '1', 'Scc', '435', '17.', '(1997)', '3', 'Scc', '443', '18.', '(2003)', '9', 'Scc', '401', '19.', '(2010)', '11', 'Scc', '557', '20.', '(1969)', '1', 'Scc', '110', '21.', '(1977)', '2', 'Scc', '431', '22.', '(1999)', '1', 'Scc', '271', '23.', '(2003)', '1', 'Scc', '488', '24.', '(2004)', '7', 'Scc', '166', '25.', '(2010)', '4', 'Scc', '728', '26.', '(1993)', '4', 'Scc', '317', '27.', '(2009)', '9', 'Scc', '386', '28.', '1993', 'Supp', '(2)', 'Scc', '20', '29.', '(1994)', '6', 'Scc', '620', '30.', '(1995)', '1', 'Scc', '242', '31.', '(1977', 'Wln', '88', '32.', '(1997)', '1', 'Scc', '134', 'The', 'Honble', 'Sri', 'Justice', 'Ramesh', 'Ranganathan', 'And', 'The', 'Honblr', 'Sri', 'Justice', 'M.Satyanarayana', 'Murthy', 'Writ', 'Petition', 'Nos.28499,', '28542', 'And', '28582', 'Of', '2013', 'Common', 'Order']"
871,"['In', 'the', 'Court', 'of', 'Sh.', 'P.K.', 'Matto,', 'Additional', 'District', 'Judge\xad01', '(East)', 'Karkardooma', 'Courts,', 'Delhi.', 'Rca:', '6/2014', 'Unique', 'Case', 'Id', 'No.:', '02402C0030572014', 'Date', 'of', 'Institution', ':', '27.1.2014', 'Date', 'of', 'Reserving', 'Judgment:', '15.11.2014', 'Date', 'on', 'which', 'judgment', 'was', 'pronounced:', '22.11.2014', 'In', 'Re:', 'Smt', 'Jyoti', 'Nagpal', 'w/o', 'Shri', 'Ravinder', 'Kumar', 'Nagpal', 'r/o', 'E\xad5,', 'Gali', 'no.', '3,', 'East', 'Chander', 'Nagar,', 'Delhi', '-', '110', '051.', '.....Appellant/defendant/Judgment', 'debtor.', 'versus', 'Smt', 'Meena', 'Kapoor', 's/o', 'Shri', 'Sunil', 'Kapoor', 'r/o', '18\xadB,', 'Subhash', 'Gali,', 'Gopal', 'Park,', 'Delhi', '-', '110', '051.', '....Respondent/plaintiff/Decree', 'holder.\xad:', 'Judgment']"
872,"['Petitioner:', 'Kapurchand', 'Shrimal', 'Vs.', 'Respondent:', 'Commissioner', 'Of', 'Income', 'Tax,', 'Andhra', 'Pradesh,', 'Hyderabad', 'Date', 'Of', 'Judgment']"
873,"['Petitioner:', 'Hukam', 'Chand', 'Shyam', 'Lal', 'Vs.', 'Respondent:', 'Union', 'Of', 'India', 'And', 'Ors.', 'Date', 'Of', 'Judgment']"
874,"['Petitioner:', 'S.', 'Sundaram', 'Pillai,', 'Etc.', 'Vs.', 'Respondent:', 'V.R.', 'Pattabiraman', 'Etc.', 'Date', 'Of', 'Judgment']"
875,"['*', 'In', 'The', 'High', 'Court', 'Of', 'Delhi', 'At', 'New', 'Delhi', 'Reserved', 'on:', '13th', 'February,', '2013', 'Pronounced', 'on:', '18th', 'February,', '2013', '+', 'Mac.App.', '483/2011', 'New', 'India', 'Assurance', 'Co.', 'Ltd', '.....', 'Appellant', 'Through:', 'Mr.', 'Kanwal', 'Chaudhary,', 'Advocate', 'versus', 'Dharmender', 'Kumar', 'Jain', '&', 'Ors.', '.....', 'Respondents', 'Through:', 'Mr.S.N.Parashar,', 'Adv.', 'for', 'R-1(a)', '&', '1(b)', 'Ms.Pooja', 'Uppal,', 'Advocate', 'for', 'R-2', 'Mr.A.K.Singh,', 'Adv.', 'with', 'Mr.', 'M.Tripathi,', 'Adv.', 'for', 'R-3', '+', 'Mac.App.', '1040/2012', 'Dharmender', 'Kumar', 'Jain', '&', 'Ors.', '.....', 'Appellants', 'Through:', 'Mr.', 'S.N.Parashar,', 'Advocate', 'versus', 'New', 'India', 'Insurance', 'Co', 'Ltd', '.....', 'Respondent', 'Through:', 'Mr.Kanwal', 'Chaudhary,', 'Advocate.', 'Coram:', ""Hon'Ble"", 'Mr.', 'Justice', 'G.P.Mittal', 'Judgment']"
876,"['Petitioner:', 'State', 'Of', 'Andhra', 'Pradesh', 'Vs.', 'Respondent:', 'N.', 'Radhakishan', 'Date', 'Of', 'Judgment']"
877,"['Petitioner:', 'M/S', 'Hindustan', 'Times', 'Limited', 'Vs.', 'Respondent:', 'Union', 'Of', 'India', '&', 'Others', 'Date', 'Of', 'Judgment']"
